"","Estimate","2.5 %","97.5 %","iteration","predictor"
"skintone:countryGermany",1.15767146459206,1.02593839790961,1.30261329584417,5,"skintone:countryGermany"
"(Intercept)",0.00256457399841503,0.00225180340478059,0.00291437953321896,6,"(Intercept)"
"skintone",1.11252360689733,1.03756303316712,1.19188661510668,6,"skintone"
"totalYellows",1.01463958935245,1.01155762742453,1.01775020196749,6,"totalYellows"
"height",1.08957184389407,1.00955435740995,1.17616336419031,6,"height"
"age",1.21052038951915,1.11326919958741,1.31658588851893,6,"age"
"wins.loss",0.772636530891835,0.718328967628758,0.829792096257945,6,"wins.loss"
"goals",1.17667577490676,1.08374099454961,1.27704093210656,6,"goals"
"posD",1.26434981301438,1.12042317466457,1.42682656869306,6,"posD"
"posG",1.70021365171253,1.37313570180962,2.09835909466928,6,"posG"
"posM",0.729747543118629,0.639401792449619,0.832077142657326,6,"posM"
"countryEngland",0.866716793326471,0.76896953794923,0.975056873332747,6,"countryEngland"
"countryFrance",1.23219841312198,1.07600633525702,1.40755482561218,6,"countryFrance"
"countryGermany",0.802648231542463,0.710270652789801,0.905470733626724,6,"countryGermany"
"skintone:countryEngland",1.0268731766904,0.925310809383019,1.13905755559502,6,"skintone:countryEngland"
"skintone:countryFrance",0.886590011667136,0.782713639495842,1.00271607458323,6,"skintone:countryFrance"
"skintone:countryGermany",1.1468791709764,1.01648415449908,1.29076959063598,6,"skintone:countryGermany"
"(Intercept)",0.00279918034910496,0.00244976933775324,0.00319169484926767,7,"(Intercept)"
"skintone",1.11552414619009,1.03991578985727,1.19571288391591,7,"skintone"
"totalYellows",1.01403287151492,1.01077380593084,1.01732004379131,7,"totalYellows"
"height",1.0700971683597,0.991262415935223,1.15536610749235,7,"height"
"age",1.19904449283664,1.10338788465819,1.30324631216945,7,"age"
"wins.loss",0.810184476208926,0.753388924347691,0.870253251527075,7,"wins.loss"
"goals",1.12735166494736,1.02514452587593,1.23871573853578,7,"goals"
"posD",1.17494373313085,1.0389022024475,1.32895594310537,7,"posD"
"posG",1.62621719193916,1.3034545989172,2.02145481597626,7,"posG"
"posM",0.743537625610071,0.650111451634822,0.849811637696751,7,"posM"
"countryEngland",0.91321826021876,0.81313393462359,1.02436522581938,7,"countryEngland"
"countryFrance",1.25261132701947,1.08530430465262,1.44155631224675,7,"countryFrance"
"countryGermany",0.773825580854117,0.683741514297784,0.874256423145508,7,"countryGermany"
"skintone:countryEngland",0.998937549352217,0.902531903171697,1.10534307630817,7,"skintone:countryEngland"
"skintone:countryFrance",0.884152531633465,0.78208266305563,0.998446099500579,7,"skintone:countryFrance"
"skintone:countryGermany",1.1181748813855,0.988201430892991,1.26154001075659,7,"skintone:countryGermany"
"(Intercept)",0.0027656090445415,0.00242390925064259,0.00314886638924745,8,"(Intercept)"
"skintone",1.09268127467677,1.01938937767124,1.17027790607173,8,"skintone"
"totalYellows",1.01374348301849,1.01053685553748,1.0169770551205,8,"totalYellows"
"height",1.09793556904901,1.01698807377104,1.18564208958277,8,"height"
"age",1.18025028395879,1.08608400796234,1.28284459579574,8,"age"
"wins.loss",0.799113457937297,0.743568485812417,0.85783441215173,8,"wins.loss"
"goals",1.13564593266648,1.04572554456715,1.23248185053364,8,"goals"
"posD",1.19421308487286,1.05662129915072,1.34970790867758,8,"posD"
"posG",1.67556739338345,1.35038272118509,2.07242346213629,8,"posG"
"posM",0.743720763847578,0.652533335208203,0.847016161521927,8,"posM"
"countryEngland",0.877517894694247,0.779716953267839,0.98599052881986,8,"countryEngland"
"countryFrance",1.27512252615879,1.11107643167423,1.45977645349115,8,"countryFrance"
"countryGermany",0.807236671006305,0.716265519921165,0.908404605332078,8,"countryGermany"
"skintone:countryEngland",1.06363869062115,0.960315869472078,1.1776906464591,8,"skintone:countryEngland"
"skintone:countryFrance",0.823220677783051,0.727636695858143,0.929569550492061,8,"skintone:countryFrance"
"skintone:countryGermany",1.24031032223017,1.10635197746726,1.38807958473508,8,"skintone:countryGermany"
"(Intercept)",0.00265778840050306,0.00232761670080671,0.00302831310949563,9,"(Intercept)"
"skintone",1.15288941349263,1.07630642827867,1.23398712277616,9,"skintone"
"totalYellows",1.01355518319641,1.01037173835023,1.01676213949615,9,"totalYellows"
"height",1.08330236860291,1.00490310215952,1.16801118346421,9,"height"
"age",1.15399539692666,1.06352000639146,1.25243119245206,9,"age"
"wins.loss",0.808653920966805,0.752219642805245,0.868175117307289,9,"wins.loss"
"goals",1.16290123229003,1.0692299698216,1.26472160214377,9,"goals"
"posD",1.24019215074617,1.09858550134736,1.40017431913759,9,"posD"
"posG",1.60761959643247,1.2948772338493,1.98913657394375,9,"posG"
"posM",0.756099890463967,0.663439505860936,0.861071612957704,9,"posM"
"countryEngland",0.883492618984035,0.786878349031782,0.990446623518039,9,"countryEngland"
"countryFrance",1.20927966608368,1.05254602831647,1.38506757836347,9,"countryFrance"
"countryGermany",0.811181682996142,0.718828945906565,0.913872859275702,9,"countryGermany"
"skintone:countryEngland",1.00218124807315,0.906061247703536,1.10818358870994,9,"skintone:countryEngland"
"skintone:countryFrance",0.867017465192815,0.768066630785193,0.977364531221261,9,"skintone:countryFrance"
"skintone:countryGermany",1.16470516323677,1.03523825098359,1.30745963530433,9,"skintone:countryGermany"
"(Intercept)",0.00287483447753726,0.00252327302569185,0.00326838003050243,10,"(Intercept)"
"skintone",1.10594442499276,1.03214903981248,1.18409211836927,10,"skintone"
"totalYellows",1.01366984856709,1.01047244163917,1.01689820106209,10,"totalYellows"
"height",1.07442421402224,0.996953970166813,1.15811250941071,10,"height"
"age",1.17347262845009,1.07960639960298,1.2756989872831,10,"age"
"wins.loss",0.804730295397486,0.749520374725481,0.86285368894305,10,"wins.loss"
"goals",1.12947221459972,1.04293945135558,1.22268470407609,10,"goals"
"posD",1.21545020446432,1.07792384455243,1.37038357323216,10,"posD"
"posG",1.64374493474563,1.33174172539514,2.02298070823918,10,"posG"
"posM",0.715923792057548,0.62810921893786,0.815339511391264,10,"posM"
